"id","pop","loc","city","X_id","state"
"283",10531,"[ -71.304813 , 42.184525]","MEDFIELD",2052,"MA"
"284",9902,"[ -71.421715 , 42.151363]","MEDWAY",2053,"MA"
"285",7613,"[ -71.360693 , 42.166938]","MILLIS",2054,"MA"
"286",9259,"[ -71.326934 , 42.117746]","NORFOLK",2056,"MA"
"287",9279,"[ -70.82172 , 42.159574]","NORWELL",2061,"MA"
"288",28700,"[ -71.203313 , 42.186843]","NORWOOD",2062,"MA"
"289",16535,"[ -70.752476 , 42.203235]","SCITUATE",2066,"MA"
"290",15873,"[ -71.175872 , 42.109388]","SHARON",2067,"MA"
"291",752,"[ -71.275235 , 42.099203]","SOUTH WALPOLE",2071,"MA"
"292",26777,"[ -71.107357 , 42.125279]","STOUGHTON",2072,"MA"
"293",15615,"[ -71.254391 , 42.144413]","WALPOLE",2081,"MA"
"294",12557,"[ -71.210426 , 42.214824]","WESTWOOD",2090,"MA"
"295",9006,"[ -71.339568 , 42.061746]","WRENTHAM",2093,"MA"
"296",3697,"[ -71.068432 , 42.357603]","BOSTON",2108,"MA"
"297",3926,"[ -71.053386 , 42.362963]","BOSTON",2109,"MA"
"298",957,"[ -71.051417 , 42.357636]","BOSTON",2110,"MA"
"299",3759,"[ -71.0629 , 42.350348]","BOSTON",2111,"MA"
"300",6698,"[ -71.055958 , 42.365656]","BOSTON",2113,"MA"
"301",10246,"[ -71.06823 , 42.361111]","BOSTON",2114,"MA"
"302",25597,"[ -71.092215 , 42.342706]","BOSTON",2115,"MA"
"303",17459,"[ -71.076798 , 42.349201]","BOSTON",2116,"MA"
"304",21914,"[ -71.075627 , 42.340154]","ROXBURY",2118,"MA"
"305",25207,"[ -71.086923 , 42.322414]","ROXBURY",2119,"MA"
"306",14212,"[ -71.097978 , 42.332844]","ROXBURY",2120,"MA"
"307",25602,"[ -71.08305 , 42.307503]","DORCHESTER",2121,"MA"
"308",21266,"[ -71.058304 , 42.297278]","DORCHESTER",2122,"MA"
"309",48560,"[ -71.072898 , 42.287984]","DORCHESTER",2124,"MA"
"310",31393,"[ -71.061924 , 42.315305]","DORCHESTER",2125,"MA"
"311",27808,"[ -71.093871 , 42.273889]","MATTAPAN",2126,"MA"
"312",29170,"[ -71.043792 , 42.333454]","SOUTH BOSTON",2127,"MA"
"313",32941,"[ -71.028682 , 42.378137]","EAST BOSTON",2128,"MA"
"314",14775,"[ -71.062715 , 42.377815]","CHARLESTOWN",2129,"MA"
